ID,name,country,origin,latitude,longitude,status,primaryfuel,secondaryfuel,capacity,lincost,cyclecost,minuptime,mindowntime,minonlinecapacity,rampingup,rampingdown,fixedomcost,varomcost,levcapcost,capacityold,lincostold,age
ENIPOWERS.P.A.Stabil.diBrindisiItaly,ENIPOWERS.P.A.Stabil.diBrindisiItaly,ITA,n739,40.62927844,18.00328732,Online,Oil,Unknown,1321.0,116.13195800000001,72655.0,2,4,528.4,1.0,1.0,32151,2.7,0.06,1321.0,116.13195800000001,old
FessenheimNuclearPowerPlantFrance,FessenheimNuclearPowerPlantFrance,FRA,n327,47.90315158,7.563119764,Online,Nuclear,Unknown,0.0,11.2952482,552000.0,24,24,368.0,0.33,0.33,122936,0.0,0.3,1840.0,11.2952482,old
FlamanvilleNuclearPowerPlantFrance,FlamanvilleNuclearPowerPlantFrance,FRA,n250,49.5365739,-1.882340106,Online,Nuclear,Unknown,2764.0,12.67665978,829200.0,24,24,552.8,0.33,0.33,122936,0.0,0.3,2764.0,12.67665978,old
FossurMerCCGTPowerPlantFrance,FossurMerCCGTPowerPlantFrance,FRA,n508,43.437,4.9056,Online,Gas,Unknown,0.0,60.01802628,26400.0,2,4,192.0,1.0,1.0,32151,2.7,0.06,480.0,60.01802628,old
GoesgenNuclearPowerPlantSwitzerland,GoesgenNuclearPowerPlantSwitzerland,CHE,n563,47.36554236,7.96877861,Online,Nuclear,Unknown,1020.0,12.09055892,306000.0,24,24,204.0,0.33,0.33,122936,0.0,0.3,1020.0,12.09055892,old
GolfechNuclearPowerPlantFrance,GolfechNuclearPowerPlantFrance,FRA,n484,44.10602816,0.8442602309999999,Online,Nuclear,Unknown,2726.0,11.74214708,817800.0,24,24,545.2,0.33,0.33,122936,0.0,0.3,2726.0,11.74214708,old
GrafenrheinfeldNuclearPowerPlantGermany,GrafenrheinfeldNuclearPowerPlantGermany,DEU,n921,49.9844,10.1828,Online,Nuclear,Unknown,1345.0,12.64162994,403500.0,24,24,269.0,0.33,0.33,122936,0.0,0.3,1345.0,12.64162994,old
GrandvalHydroelectricPowerPlantFrance,GrandvalHydroelectricPowerPlantFrance,FRA,n459,44.92193781,3.0744981769999997,Online,Hydro,Unknown,0.0,6.64471177,318.2,0,0,7.4,1.0,1.0,14520,5.8,0.16,74.0,6.64471177,old
GravelinesNuclearPowerPlantFrance,GravelinesNuclearPowerPlantFrance,FRA,n218,51.01411055,2.1332093359999997,Online,Nuclear,Unknown,5706.0,10.95653983,1711800.0,24,24,1141.2,0.33,0.33,122936,0.0,0.3,5706.0,10.95653983,old
GrohndeNuclearPowerPlantGermany,GrohndeNuclearPowerPlantGermany,DEU,n836,52.03491347,9.411194116,Online,Nuclear,Unknown,1430.0,10.90889332,429000.0,24,24,286.0,0.33,0.33,122936,0.0,0.3,1430.0,10.90889332,old
GundremmingenNuclearPowerPlantGermany,GundremmingenNuclearPowerPlantGermany,DEU,n965,48.5148869,10.40120754,Online,Nuclear,Unknown,0.0,12.38518405,806400.0,24,24,537.6,0.33,0.33,122936,0.0,0.3,2688.0,12.38518405,old
HornaingBCoalPowerPlantFrance,HornaingBCoalPowerPlantFrance,FRA,n224,50.37393407,3.338963985,Online,Coal,Unknown,0.0,40.10110144,16445.0,8,8,50.6,0.4,0.4,61301,2.1,0.12,253.0,40.10110144,old
IsarNuclearPowerPlantGermany,IsarNuclearPowerPlantGermany,DEU,n954,48.60491534,12.29359137,Online,Nuclear,Unknown,0.0,12.31633653,716100.0,24,24,477.4,0.33,0.33,122936,0.0,0.3,2387.0,12.31633653,old
JoseCabreraES1(Zorita)NuclearPowerPlantSpain(Shutdown),JoseCabreraES1(Zorita)NuclearPowerPlantSpain(Shutdown),ESP,n144,40.34752534,-2.885456085,Online,Nuclear,Unknown,440.0,12.91358274,132000.0,24,24,88.0,0.33,0.33,122936,0.0,0.3,440.0,12.91358274,old
KozloduyNuclearPowerPlantBulgaria,KozloduyNuclearPowerPlantBulgaria,BGR,n1296,43.74277516,23.77558989,Online,Nuclear,Unknown,0.0,12.26674144,600000.0,24,24,400.0,0.33,0.33,122936,0.0,0.3,2000.0,12.26674144,old
KruemmelNuclearPowerPlantGermany,KruemmelNuclearPowerPlantGermany,DEU,n788,53.41028651,10.41015453,Online,Nuclear,Unknown,1316.0,12.28107989,394800.0,24,24,263.2,0.33,0.33,122936,0.0,0.3,1316.0,12.28107989,old
KrskoNuclearPowerReactorSlovenia,KrskoNuclearPowerReactorSlovenia,SVN,n1224,45.93892632,15.51604095,Online,Nuclear,Unknown,730.0,12.27304081,219000.0,24,24,146.0,0.33,0.33,122936,0.0,0.3,730.0,12.27304081,old
L'AigleHydroelectricGeneratingStationFrance,L'AigleHydroelectricGeneratingStationFrance,FRA,n445,45.24343974,2.224774361,Online,Hydro,Unknown,0.0,6.500099007999999,1548.0,0,0,36.0,1.0,1.0,14520,5.8,0.16,360.0,6.500099007999999,old
LaMaxeCombustionCoalPowerPlantFrance,LaMaxeCombustionCoalPowerPlantFrance,FRA,n255,49.15656228,6.190538406,Online,Coal,Unknown,0.0,40.01895321,32500.0,8,8,100.0,0.4,0.4,61301,2.1,0.12,500.0,40.01895321,old
AllementHydroelectricPowerStationFrance,AllementHydroelectricPowerStationFrance,FRA,n402,46.111999999999995,5.4220000000000015,Online,Hydro,Unknown,0.0,5.782181262000001,137.6,0,0,3.2,1.0,1.0,14520,5.8,0.16,32.0,5.782181262000001,old
SaultBrenazHydroelectricPowerStationFrance,SaultBrenazHydroelectricPowerStationFrance,FRA,n418,45.846000000000004,5.4179999999999975,Online,Hydro,Unknown,0.0,5.953691987000001,193.5,0,0,4.5,1.0,1.0,14520,5.8,0.16,45.0,5.953691987000001,old
ChautagneHydroelectricPowerStationFrance,ChautagneHydroelectricPowerStationFrance,FRA,n407,45.879,5.811,Online,Hydro,Unknown,0.0,6.167529674,387.0,0,0,9.0,1.0,1.0,14520,5.8,0.16,90.0,6.167529674,old
SeysselHydroelectricPowerStationFrance,SeysselHydroelectricPowerStationFrance,FRA,n407,45.971000000000004,5.834,Online,Hydro,Unknown,0.0,6.834045443,193.5,0,0,4.5,1.0,1.0,14520,5.8,0.16,45.0,6.834045443,old
GenissiatHydroelectricPowerStationFrance,GenissiatHydroelectricPowerStationFrance,FRA,n407,46.053000000000004,5.813,Online,Hydro,Unknown,0.0,5.9621572710000015,1806.0,0,0,42.0,1.0,1.0,14520,5.8,0.16,420.0,5.9621572710000015,old
CizeBolozonHydroelectricPowerStationFrance,CizeBolozonHydroelectricPowerStationFrance,FRA,n402,46.21100000000001,5.465,Online,Hydro,Unknown,0.0,6.363454261,98.9,0,0,2.3,1.0,1.0,14520,5.8,0.16,23.0,6.363454261,old
CoiseletHydroelectricPowerStationFrance,CoiseletHydroelectricPowerStationFrance,FRA,n394,46.294,5.5920000000000005,Online,Hydro,Unknown,0.0,6.326150475,176.3,0,0,4.1,1.0,1.0,14520,5.8,0.16,41.0,6.326150475,old
MouxCharminesHydroelectricPowerStationFrance,MouxCharminesHydroelectricPowerStationFrance,FRA,n402,46.277,5.553999999999999,Online,Hydro,Unknown,0.0,7.026541595,120.4,0,0,2.8,1.0,1.0,14520,5.8,0.16,28.0,7.026541595,old
BancaironHydroelectricPowerStationFrance,BancaironHydroelectricPowerStationFrance,FRA,n708,44.003,7.1370000000000005,Online,Hydro,Unknown,0.0,6.82108025,215.0,0,0,5.0,1.0,1.0,14520,5.8,0.16,50.0,6.82108025,old
SaintDalmasHydroelectricPowerStationFrance,SaintDalmasHydroelectricPowerStationFrance,FRA,n708,44.047,7.586,Online,Hydro,Unknown,0.0,6.502755766,215.0,0,0,5.0,1.0,1.0,14520,5.8,0.16,50.0,6.502755766,old
CastillonHydroelectricPowerStationFrance,CastillonHydroelectricPowerStationFrance,FRA,n482,43.878,6.537999999999999,Online,Hydro,Unknown,0.0,6.52539457,292.4,0,0,6.8,1.0,1.0,14520,5.8,0.16,68.0,6.52539457,old
ChaudanneHydroelectricPowerStationFrance,ChaudanneHydroelectricPowerStationFrance,FRA,n482,43.848,6.544,Online,Hydro,Unknown,0.0,7.012846642,104.49,0,0,2.43,1.0,1.0,14520,5.8,0.16,24.3,7.012846642,old
OraisonHydroelectricPowerStationFrance,OraisonHydroelectricPowerStationFrance,FRA,n482,43.92100000000001,5.925,Online,Hydro,Unknown,0.0,6.455609973,838.5,0,0,19.5,1.0,1.0,14520,5.8,0.16,195.0,6.455609973,old
BrillanneI,BrillanneI,FRA,n482,43.92100000000001,5.925,Online,Hydro,Unknown,0.0,5.991287061,129.0,0,0,3.0,1.0,1.0,14520,5.8,0.16,30.0,5.991287061,old
LargueHydroelectricPowerStationFrance,LargueHydroelectricPowerStationFrance,FRA,n487,43.854,5.859,Online,Hydro,Unknown,0.0,5.983908021,51.6,0,0,1.2,1.0,1.0,14520,5.8,0.16,12.0,5.983908021,old
ManosqueVoixHydroelectricPowerStationFrance,ManosqueVoixHydroelectricPowerStationFrance,FRA,n487,43.876999999999995,5.8629999999999995,Online,Hydro,Unknown,55.0,5.884350404,236.5,0,0,5.5,1.0,1.0,14520,5.8,0.16,55.0,5.884350404,old
SainteTulleI,SainteTulleI,FRA,n493,43.787,5.774,Online,Hydro,Unknown,97.0,6.71170518,417.1,0,0,9.7,1.0,1.0,14520,5.8,0.16,97.0,6.71170518,old
QuinsonHydroelectricPowerStationFrance,QuinsonHydroelectricPowerStationFrance,FRA,n487,43.699,6.051,Online,Hydro,Unknown,0.0,6.118323032,176.3,0,0,4.1,1.0,1.0,14520,5.8,0.16,41.0,6.118323032,old
SainteCroixHydroelectricPowerStationFrance,SainteCroixHydroelectricPowerStationFrance,FRA,n487,43.736999999999995,6.1339999999999995,Online,Hydro,Unknown,158.0,6.976369747000001,679.4,0,0,15.8,1.0,1.0,14520,5.8,0.16,158.0,6.976369747000001,old
SalignacHydroelectricPowerStationFrance,SalignacHydroelectricPowerStationFrance,FRA,n480,44.13800000000001,5.979,Online,Hydro,Unknown,88.0,6.180224106,378.4,0,0,8.8,1.0,1.0,14520,5.8,0.16,88.0,6.180224106,old
CurbansHydroelectricPowerStationFrance,CurbansHydroelectricPowerStationFrance,FRA,n469,44.4476,6.0616,Online,Hydro,Unknown,165.0,5.877498033999999,709.5,0,0,16.5,1.0,1.0,14520,5.8,0.16,165.0,5.877498033999999,old
RevinHydroelectricPowerStationFrance,RevinHydroelectricPowerStationFrance,FRA,n233,49.90600000000001,4.625,Online,Hydro,Unknown,800.0,6.290605817,3440.0,0,0,80.0,1.0,1.0,14520,5.8,0.16,800.0,6.290605817,old
AstonHydroelectricPowerStationFrance,AstonHydroelectricPowerStationFrance,FRA,n530,42.777,1.6769999999999998,Online,Hydro,Unknown,116.0,6.476966758,498.8,0,0,11.6,1.0,1.0,14520,5.8,0.16,116.0,6.476966758,old
OrluHydroelectricPowerStationFrance,OrluHydroelectricPowerStationFrance,FRA,n533,42.68899999999999,1.912,Online,Hydro,Unknown,88.8,6.275047122999999,381.84,0,0,8.88,1.0,1.0,14520,5.8,0.16,88.8,6.275047122999999,old
TeichHydroelectricPowerStationFrance,TeichHydroelectricPowerStationFrance,FRA,n533,42.71,1.864,Online,Hydro,Unknown,0.0,6.371490486,27.09,0,0,0.63,1.0,1.0,14520,5.8,0.16,6.3,6.371490486,old
NentillaHydroelectricPowerStationFrance,NentillaHydroelectricPowerStationFrance,FRA,n524,42.772,2.213,Online,Hydro,Unknown,97.0,5.833125787,417.1,0,0,9.7,1.0,1.0,14520,5.8,0.16,97.0,5.833125787,old
BrommatHydroelectricPowerStationFrance,BrommatHydroelectricPowerStationFrance,FRA,n466,44.768,2.6839999999999997,Online,Hydro,Unknown,444.0,6.894037196,1909.2,0,0,44.4,1.0,1.0,14520,5.8,0.16,444.0,6.894037196,old
CouesqueHydroelectricPowerStationFrance,CouesqueHydroelectricPowerStationFrance,FRA,n471,44.69600000000001,2.585,Online,Hydro,Unknown,124.0,6.380672983999999,533.2,0,0,12.4,1.0,1.0,14520,5.8,0.16,124.0,6.380672983999999,old
GolinhacHydroelectricPowerStationFrance,GolinhacHydroelectricPowerStationFrance,FRA,n471,44.606,2.605,Online,Hydro,Unknown,45.0,6.89142197,193.5,0,0,4.5,1.0,1.0,14520,5.8,0.16,45.0,6.89142197,old
Pouget(Le)HydroelectricPowerStationFrance,Pouget(Le)HydroelectricPowerStationFrance,FRA,n488,44.06,2.7689999999999997,Online,Hydro,Unknown,572.5,6.428764123,2461.75,0,0,57.25,1.0,1.0,14520,5.8,0.16,572.5,6.428764123,old
TruelHydroelectricPowerStationFrance,TruelHydroelectricPowerStationFrance,FRA,n488,44.06,2.7689999999999997,Online,Hydro,Unknown,0.0,6.09902745,116.1,0,0,2.7,1.0,1.0,14520,5.8,0.16,27.0,6.09902745,old
SarransHydroelectricPowerStationFrance,SarransHydroelectricPowerStationFrance,FRA,n466,44.83,2.74,Online,Hydro,Unknown,180.0,5.898142247000001,774.0,0,0,18.0,1.0,1.0,14520,5.8,0.16,180.0,5.898142247000001,old
AlranceHydroelectricPowerStationFrance,AlranceHydroelectricPowerStationFrance,FRA,n479,44.122,2.69,Online,Hydro,Unknown,0.0,6.477655805,62.35,0,0,1.45,1.0,1.0,14520,5.8,0.16,14.5,6.477655805,old
CambeyracHydroelectricPowerStationFrance,CambeyracHydroelectricPowerStationFrance,FRA,n471,44.655,2.574,Online,Hydro,Unknown,0.0,6.640063271,42.14,0,0,0.98,1.0,1.0,14520,5.8,0.16,9.8,6.640063271,old
CastelnauLassoutsHydroelectricPowerStationFrance,CastelnauLassoutsHydroelectricPowerStationFrance,FRA,n471,44.505,2.8739999999999997,Online,Hydro,Unknown,42.0,5.778167753,180.6,0,0,4.2,1.0,1.0,14520,5.8,0.16,42.0,5.778167753,old
LardyHydroelectricPowerStationFrance,LardyHydroelectricPowerStationFrance,FRA,n471,44.662,2.583,Online,Hydro,Unknown,45.0,6.307602692000001,193.5,0,0,4.5,1.0,1.0,14520,5.8,0.16,45.0,6.307602692000001,old
LotHydroelectricPowerStationFrance,LotHydroelectricPowerStationFrance,FRA,n471,44.663000000000004,2.6639999999999997,Online,Hydro,Unknown,28.6,6.667241931,122.98,0,0,2.86,1.0,1.0,14520,5.8,0.16,28.6,6.667241931,old
PinetHydroelectricPowerStationFrance,PinetHydroelectricPowerStationFrance,FRA,n488,44.07,2.805,Online,Hydro,Unknown,66.5,6.134801681,285.95,0,0,6.65,1.0,1.0,14520,5.8,0.16,66.5,6.134801681,old
JouquesHydroelectricPowerStationFrance,JouquesHydroelectricPowerStationFrance,FRA,n493,43.681000000000004,5.6560000000000015,Online,Hydro,Unknown,78.0,6.275787795,335.4,0,0,7.8,1.0,1.0,14520,5.8,0.16,78.0,6.275787795,old
MallemortHydroelectricPowerStationFrance,MallemortHydroelectricPowerStationFrance,FRA,n485,43.715,5.205,Online,Hydro,Unknown,101.0,7.037889604,434.3,0,0,10.1,1.0,1.0,14520,5.8,0.16,101.0,7.037889604,old
SaintChamasHydroelectricPowerStationFrance,SaintChamasHydroelectricPowerStationFrance,FRA,n502,43.527,5.073,Online,Hydro,Unknown,165.0,6.188626947,709.5,0,0,16.5,1.0,1.0,14520,5.8,0.16,165.0,6.188626947,old
SaintEsteveJansonHydroelectricPowerStationFrance,SaintEsteveJansonHydroelectricPowerStationFrance,FRA,n499,43.692,5.385,Online,Hydro,Unknown,156.0,5.850406981,670.8,0,0,15.6,1.0,1.0,14520,5.8,0.16,156.0,5.850406981,old
SalonHydroelectricPowerStationFrance,SalonHydroelectricPowerStationFrance,FRA,n494,43.633,5.114,Online,Hydro,Unknown,101.0,6.164316689,434.3,0,0,10.1,1.0,1.0,14520,5.8,0.16,101.0,6.164316689,old
MaregesHydroelectricPowerStationFrance,MaregesHydroelectricPowerStationFrance,FRA,n438,45.391999999999996,2.364,Online,Hydro,Unknown,301.8,6.374395922000001,1297.74,0,0,30.18,1.0,1.0,14520,5.8,0.16,301.8,6.374395922000001,old
SaintEtienneCantalesHydroelectricPowerStationFrance,SaintEtienneCantalesHydroelectricPowerStationFrance,FRA,n457,44.945,2.219,Online,Hydro,Unknown,105.0,6.2581434179999995,451.5,0,0,10.5,1.0,1.0,14520,5.8,0.16,105.0,6.2581434179999995,old
AuzeretteHydroelectricPowerStationFrance,AuzeretteHydroelectricPowerStationFrance,FRA,n438,45.365,2.6460000000000004,Online,Hydro,Unknown,29.0,6.632266485,124.7,0,0,2.9,1.0,1.0,14520,5.8,0.16,29.0,6.632266485,old
Rhue(La)HydroelectricPowerStationFrance,Rhue(La)HydroelectricPowerStationFrance,FRA,n438,45.415,2.499,Online,Hydro,Unknown,0.0,5.910062217999999,51.6,0,0,1.2,1.0,1.0,14520,5.8,0.16,12.0,5.910062217999999,old
EnchanetHydroelectricPowerStationFrance,EnchanetHydroelectricPowerStationFrance,FRA,n457,45.082,2.194,Online,Hydro,Unknown,35.0,6.857669047999999,150.5,0,0,3.5,1.0,1.0,14520,5.8,0.16,35.0,6.857669047999999,old
LanauHydroelectricPowerStationFrance,LanauHydroelectricPowerStationFrance,FRA,n459,44.89100000000001,3.003,Online,Hydro,Unknown,21.0,6.27325393,90.3,0,0,2.1,1.0,1.0,14520,5.8,0.16,21.0,6.27325393,old
