fromNode,toNode,X,Y,limit,length
n98,n80,0.14331,6.97788012,15000,84.24580828
n98,n116,0.16496,6.062075655,15000,99.57834883
n91,n80,0.04809,20.79434394,15000,37.22487353
n90,n86,0.0734,13.6239782,15000,46.37174259
n93,n83,0.05018,19.92825827,15000,38.42468731
n93,n122,0.08512,11.7481203,15000,116.6341698
n93,n86,0.03013,33.18951211,15000,28.73997709
n93,n118,0.13996,7.144898542,15000,96.45579296
n93,n84,0.10716,9.331840239,15000,71.8566915
n92,n87,0.04796,20.85070892,15000,26.6068765
n95,n146,0.08139,12.28652169,15000,194.661572
n95,n59,0.09639,10.37452018,15000,183.7657706
n95,n70,0.02719,36.77822729,15000,68.59021423
n95,n64,0.07112,14.06074241,15000,140.8818052
n95,n127,0.046526574,21.49309356,15000,183.2008329
n94,n89,0.03254,30.7314075,15000,23.21015775
n94,n97,0.02965,33.72681282,15000,9.343652046
n97,n82,0.06533,15.30690341,15000,61.1924283
n97,n64,0.07379,13.55197181,15000,131.4627351
n96,n83,0.10203,9.80103891,15000,66.61152809
n559,n568,0.03277,30.51571559,15000,25.77104173
n559,n989,0.00877,114.0250855,1170,26.71122613
n559,n991,0.00283,353.3568905,4760,16.41706947
n559,n990,0.03527,28.35270768,2080,24.5005414
n559,n573,0.01224,81.69934641,15000,50.52399773
n559,n561,0.00439,227.7904328,15000,19.56806876
n559,n570,0.00807,123.9157373,15000,34.74499586
n559,n572,0.06442,15.52312946,15000,49.71570044
n558,n560,0.007002152,142.813234,15000,37.4518297
n558,n568,0.02471,40.46944557,15000,34.36748485
n558,n562,0.01758,56.88282139,15000,25.20906886
n558,n990,0.01015,98.52216749,1400,16.16674917
n558,n572,0.02759,36.24501631,15000,43.67735783
n555,n228,0.02699,37.05075954,290,21.19142595
n554,n606,0.0179,55.86592179,716,30.23419466
n554,n241,0.05988,16.7000668,381,25.49251153
n554,n553,0.00885,112.9943503,15000,47.26705187
n557,n560,0.02727,36.6703337,15000,35.91182796
n557,n564,0.02572,38.88024883,15000,40.20191824
n556,n1507,0.0162,61.72839506,1320,23.14845779
n556,n538,0.01562,64.02048656,1320,22.37745438
n551,n547,0.02322,43.06632214,15000,44.49806751
n551,n553,0.00793,126.1034048,15000,38.68730294
n550,n549,0.00581,172.1170396,15000,13.33516304
n550,n546,0.00738,135.501355,15000,25.05763567
n553,n548,0.02688,37.20238095,15000,46.30050847
n552,n547,0.01076,92.93680297,15000,27.54746997
n552,n228,0.01751,57.11022273,1490,21.45759134
n1199,n1202,0.01707,58.58230814,15000,32.7166118
n1198,n1202,0.04438,22.53267237,15000,75.32113431
n1198,n1196,0.02949,33.90979993,15000,47.49174943
n1191,n1241,0.0179,55.86592179,1246,93.89370973
n1191,n1187,0.02985,33.50083752,15000,72.77551872
n1191,n1182,0.0349,28.65329513,15000,91.14016943
n1191,n1194,0.03874,25.81311306,15000,70.8469815
n1190,n1227,0.06787,14.73405039,1264,135.087277
n1190,n1187,0.04433,22.55808707,15000,80.35950955
n1190,n1185,0.03018,33.13452618,15000,68.38544565
n1190,n1194,0.03523,28.38489923,15000,75.0729146
n1190,n1189,0.0508,19.68503937,15000,170.9639076
n1192,n1180,0.11475,8.71459695,15000,110.5553646
n1195,n1200,0.02895,34.54231434,15000,21.75561067
n1195,n1196,0.03589,27.86291446,15000,43.42769026
n1197,n1203,0.02657,37.63643207,15000,32.64854859
n1196,n1163,0.01941,51.51983514,2868,94.84417632
n1196,n1204,0.01963,50.94243505,15000,19.2171207
n1196,n1207,0.25876,3.864584944,15000,131.3137379
n1196,n1200,0.03613,27.67783006,15000,53.04839047
n1177,n1174,0.06968,14.35132032,15000,143.7369862
n1177,n1181,0.01581,63.25110689,15000,59.99023017
n1177,n1214,0.03114,32.11303789,1246,54.65551719
n1177,n1178,0.02114,47.30368969,15000,16.46678274
n1176,n1174,0.062226516,16.07031971,15000,85.05299317
n1176,n1180,0.09627,10.38745196,15000,64.07014281
n1176,n1178,0.047444777,21.07713579,15000,65.02554217
n1175,n1174,0.02562184,39.0292034,15000,53.40522057
n1174,n1173,0.007635089,130.9742413,15000,23.85455755
n1174,n1172,0.01683,59.41770648,15000,23.29209258
n1174,n1180,0.1357,7.369196758,15000,110.3771869
n1173,n1171,0.01531,65.31678641,15000,20.72318088
n1172,n1170,0.03621,27.61668048,15000,43.74204712
n1170,n1505,0.05,20,15000,85.08061656
n1179,n1184,0.0151,66.22516556,15000,19.9035581
n1179,n1178,0.02453,40.76640848,15000,18.86341922
n511,n518,0.017104545,58.46399228,15000,33.08452859
n511,n520,0.00737,135.6852103,15000,30.93971916
n511,n512,0.09481,10.54741061,15000,49.92427213
n511,n528,0.02659,37.60812335,15000,103.8910614
n511,n503,0.00871,114.8105626,15000,36.74985023
n511,n492,0.0843,11.8623962,15000,64.28694898
n510,n486,0.01952,51.2295082,15000,86.36536232
n510,n517,0.01526,65.53079948,15000,58.55290068
n510,n516,0.01632,61.2745098,15000,23.65744688
n513,n528,0.10235,9.770395701,15000,51.04485255
n513,n503,0.09984,10.01602564,15000,58.71807935
n1285,n1272,0.07756,12.89324394,1400,159.6448333
n1285,n1288,0.0097,103.0927835,15000,66.55371303
n1284,n1373,0.02909,34.37607425,1330,62.04346104
n1284,n1283,0.00606,165.0165017,15000,21.06023213
n1287,n1323,0.01922,52.02913632,15000,50.49954125
n1287,n1328,0.07686,13.01066875,15000,94.63024296
n1287,n1286,0.01575,63.49206349,15000,63.75781497
n1287,n1289,0.07514,13.30849082,15000,123.633599
n512,n488,0.08724,11.46263182,15000,72.52637894
n1281,n1272,0.05454,18.33516685,1400,123.8487968
n1281,n1280,0.03636,27.50275028,15000,66.05514647
n1281,n1283,0.02666,37.50937734,15000,58.93776433
n1280,n1314,0.00848,117.9245283,1400,40.5277074
n1280,n1283,0.0509,19.64636542,15000,102.2115854
n1282,n1288,0.04727,21.15506664,1330,108.9393864
n1003,n1005,0.02973,33.63605785,15000,39.98651909
n1003,n1004,0.02484,40.25764895,15000,105.2241091
n1003,n998,0.02812,35.56187767,15000,91.76803295
n1003,n1008,0.02557,39.10833007,15000,40.28949409
n1003,n1000,0.01477,67.70480704,15000,18.73283168
n879,n857,0.00706,141.6430595,15000,46.6124719
n879,n886,0.00573,174.5200698,15000,25.40191587
n1289,n1341,0.07045,14.19446416,15000,59.25966612
n1289,n1290,0.02242,44.60303301,15000,36.96979072
n1288,n1286,0.03999,25.00625156,15000,146.2268627
n1288,n1295,0.00582,171.8213058,15000,46.64930292
n514,n502,0.04121,24.26595487,15000,32.9076307
n514,n498,0.06976,14.33486239,15000,52.75066588
n514,n521,0.08183,12.22045705,15000,56.09523688
n514,n508,0.05705,17.52848379,15000,36.33590532
n514,n493,0.07198,13.89274799,15000,61.51513928
n689,n693,0.01822,54.88474204,15000,15.9420932
n689,n687,0.01251,79.93605116,15000,20.51705745
n689,n680,0.02416,41.39072848,15000,49.36997417
n689,n697,0.01061,94.25070688,15000,28.47902807
n688,n705,0.02673,37.41114852,15000,61.08501832
n688,n687,0.03701,27.0197244,15000,67.83880024
n688,n682,0.01921,52.05622072,15000,44.50648951
n685,n674,0.05646,17.71165427,15000,46.48751819
n685,n705,0.11191,8.935751944,15000,92.23364307
n684,n443,0.00776,128.8659794,1390,16.3409913
n684,n692,0.02172,46.04051565,15000,46.07028169
n687,n682,0.05288,18.9107413,15000,98.92122922
n686,n666,0.03335,29.9850075,15000,77.66356225
n686,n676,0.04048,24.70355731,15000,85.03399261
n686,n694,0.01228,81.43322476,15000,33.11205517
n681,n676,0.04934,20.26753141,15000,35.6573117
n681,n669,0.06279,15.92610288,15000,49.52550064
n680,n675,0.01127,88.73114463,15000,23.5399203
n683,n675,0.02437,41.03405827,15000,53.21911011
n683,n690,0.03219,31.06554831,15000,58.71524679
n682,n671,0.02418,41.35649297,15000,58.33351493
n682,n679,0.01764,56.6893424,15000,34.50805348
n682,n673,0.02405,41.58004158,15000,37.10293942
n623,n621,0.01315,76.04562738,15000,28.67616476
n623,n619,0.01101,90.82652134,15000,48.95994604
n623,n624,0.00906,110.3752759,15000,19.07360157
n1226,n638,0.03064,32.63707572,1619,63.68354331
n1226,n643,0.02038,49.06771344,330,35.03797252
n1226,n1223,0.014238621,70.23152204,15000,46.75023044
n1226,n1233,0.022246533,44.95082548,1630,62.02150332
n1224,n1219,0.02935,34.07155026,15000,62.83100172
n1224,n1229,0.00753,132.8021248,2632,26.93689561
n1223,n1222,0.0089,112.3595506,15000,29.20565879
n1223,n1221,0.015119971,66.13769413,15000,42.75805601
n1221,n1219,0.02922,34.22313484,15000,58.83337757
n1221,n1026,0.10265,9.741841208,351,51.15365912
n1221,n1220,0.07364,13.57957632,15000,49.98647611
n1220,n1241,0.10755,9.29800093,297,54.49589604
n407,n381,0.0943,10.60445387,15000,85.1855209
n407,n602,0.02117,47.23665564,700,28.45873178
n407,n414,0.0467,21.41327623,15000,29.38429518
n407,n356,0.06628,15.08750754,15000,164.5950042
n407,n404,0.016032738,62.37237912,15000,40.31207534
n407,n397,0.00447,223.7136465,15000,22.7186314
n407,n402,0.05062,19.75503753,15000,35.56567938
n407,n394,0.04641,21.54708037,15000,42.13177843
n407,n364,0.023800256,42.01635536,15000,178.1865263
n407,n422,0.01161,86.13264427,15000,49.45334733
n407,n418,0.07352,13.60174102,15000,44.46228306
n407,n423,0.02967,33.70407819,15000,67.02848602
n407,n427,0.12109,8.258320258,15000,78.540384
n406,n404,0.02775,36.03603604,15000,19.1908785
n406,n410,0.03318,30.13863773,15000,27.48375279
n406,n603,0.05321,18.79345988,320,25.71607048
n1373,n1344,0.04727,21.15506664,1264,87.90674849
n1373,n1375,0.05332,18.75468867,15000,109.604726
n1373,n1374,0.003635,275.1031637,15000,11.17826417
n1373,n1411,0.005605,178.412132,15000,24.25022466
n1373,n1392,0.03202,31.23048095,15000,32.90102765
n1373,n1391,0.01601,62.4609619,15000,31.22065382
n1372,n1369,0.08006,12.49063203,15000,54.46417912
n1375,n1376,0.03757,26.61698163,15000,64.30349872
n1375,n1396,0.06085,16.43385374,15000,66.94913069
n1375,n1379,0.04848,20.62706271,15000,94.81927526
n1375,n1378,0.03636,27.50275028,15000,57.86934178
n1375,n1393,0.06405,15.6128025,15000,37.90622396
n1375,n1295,0.04969,20.1247736,1300,104.880856
n1377,n1412,0.00606,165.0165017,1100,29.28234186
n1377,n1383,0.06423,15.56904873,15000,82.93518694
n1377,n1376,0.02424,41.25412541,15000,66.6931332
n400,n416,0.00851,117.5088132,15000,34.90516019
n400,n387,0.01038,96.33911368,15000,53.96573261
n1379,n1380,0.03999,25.00625156,15000,86.90161781
n1342,n1286,0.00182,549.4505495,15000,12.82739552
n409,n391,0.09642,10.37129226,15000,57.37094693
n409,n403,0.08458,11.82312603,15000,53.2687921
n409,n419,0.03803,26.29503024,15000,29.68242124
n409,n433,0.15867,6.302388605,15000,110.8782492
n408,n388,0.01653,60.49606776,15000,72.19636461
n408,n398,0.02586,38.66976025,15000,97.36053549
n408,n403,0.02757,36.27130939,15000,18.10388779
n408,n419,0.02631,38.00836184,15000,35.09686908
n408,n435,0.01266,78.98894155,15000,66.79275557
n1343,n1350,0.03636,27.50275028,1330,68.5895219
n1343,n1344,0.03514,28.45759818,15000,73.46609824
n1344,n1345,0.02545,39.29273084,15000,43.91601431
n455,n459,0.07122,14.04099972,15000,46.69919071
n455,n468,0.10236,9.769441188,15000,60.67606953
n455,n465,0.05305,18.85014138,15000,38.2682839
n455,n446,0.06348,15.75299307,15000,44.08327046
n455,n475,0.10878,9.192866336,15000,83.79589382
n455,n432,0.09296,10.75731497,15000,78.95177064
n1346,n1370,0.08967,11.15200178,380,76.57625199
n1346,n1345,0.019215,52.04267499,15000,33.32053765
n1347,n1348,0.03843,26.0213375,15000,30.72177913
n1347,n1350,0.04804,20.81598668,276,42.76575376
n379,n357,0.01554,64.35006435,15000,76.60500764
n379,n367,0.06521,15.33507131,15000,45.84736389
n379,n405,0.015,66.66666667,15000,82.42862144
n378,n405,0.02351,42.53509145,15000,116.0881483
n378,n374,0.08272,12.08897485,15000,53.43569023
n378,n445,0.07714,12.96344309,15000,211.8658104
n378,n396,0.028117833,35.56461821,15000,84.58096854
n371,n364,0.11682,8.560178052,15000,67.97513586
n371,n365,0.06067,16.48261085,15000,41.43350944
n371,n384,0.05946,16.81802893,15000,53.77469874
n371,n382,0.07658,13.05823975,15000,58.19924418
n370,n366,0.01157,86.43042351,15000,43.42584056
n370,n372,0.00738,135.501355,15000,25.71432982
n373,n375,0.05551,18.01477211,15000,28.77007657
n373,n385,0.06108,16.37197119,15000,44.48080561
n373,n377,0.09683,10.32737788,15000,53.18402969
n373,n369,0.011354983,88.06706307,15000,23.57325892
n372,n383,0.052004826,19.22898446,15000,72.2800794
n372,n359,0.01842,54.2888165,15000,70.72143337
n372,n369,0.03562,28.07411567,15000,125.49641
n372,n388,0.00965,103.626943,15000,52.64714632
n372,n377,0.048887978,20.45492658,15000,58.16018173
n372,n361,0.02882,34.6981263,15000,40.57157062
n375,n377,0.04377,22.84669865,15000,24.49846795
n377,n403,0.11978,8.348639172,15000,92.14823106
n376,n356,0.11627,8.600670852,15000,56.81072529
n393,n383,0.04043,24.73410834,15000,31.54940922
n393,n398,0.02384,41.94630872,15000,35.26610722
n392,n405,0.02732,36.60322108,15000,34.94343541
n391,n385,0.033,30.3030303,15000,22.18012124
n390,n389,0.07635,13.09757695,15000,47.07436528
n390,n387,0.04496,22.24199288,15000,29.79852376
n397,n602,0.00502,199.2031873,1400,10.02011603
n397,n589,0.0103,97.08737864,1470,51.43260686
n396,n438,0.1503,6.653359947,15000,132.3364873
n396,n415,0.06231,16.04878832,15000,51.71377926
n396,n466,0.09254,10.80613789,15000,211.8549926
n396,n383,0.13395,7.465472191,15000,91.26827349
n396,n352,0.05305,18.85014138,15000,143.6895035
n396,n386,0.05746,17.40341107,15000,38.26571275
n396,n413,0.04738,21.10595188,15000,45.66563916
n396,n421,0.03708,26.96871629,15000,82.45494374
n396,n420,0.09595,10.42209484,15000,79.68504991
n396,n399,0.10348,9.663703131,15000,66.37719409
n396,n398,0.01871,53.44735436,15000,67.34348689
n395,n404,0.01726,57.93742758,15000,26.34505532
n394,n384,0.03696,27.05627706,15000,35.13380049
n394,n402,0.03976,25.15090543,15000,25.05039581
n399,n401,0.02776,36.02305476,15000,17.69221183
n245,n258,0.03356,29.79737783,15000,23.7707662
n245,n246,0.03607,27.72387025,15000,20.6835161
n244,n255,0.002857333,349.9767383,15000,25.91175283
n247,n239,0.05866,17.04739175,15000,34.47768454
n247,n264,0.04246,23.55157796,15000,33.4639574
n246,n258,0.04079,24.5158127,15000,26.1611394
n246,n242,0.01755,56.98005698,15000,21.24601919
n241,n255,0.01197,83.54218881,15000,43.36136263
n241,n240,0.08608,11.61710037,15000,45.42993016
n241,n254,0.04911,20.36245164,15000,30.21764504
n241,n233,0.02797,35.75259206,15000,103.2045007
n240,n234,0.05724,17.47030049,15000,39.24195729
n243,n262,0.01355,73.80073801,15000,32.99401271
n243,n233,0.01323,75.58578987,15000,35.36571535
n242,n238,0.09397,10.64169416,15000,57.28760191
n249,n256,0.03178,31.46633103,15000,20.83682046
n249,n239,0.04458,22.43158367,15000,26.09322167
n248,n258,0.01193,83.82229673,15000,42.16986267
n179,n182,0.09069,11.02657404,15000,48.0025259
n179,n171,0.0866,11.54734411,15000,63.69887553
n178,n166,0.13029,7.675186123,15000,102.31305
n178,n199,0.19119,5.230399079,15000,161.5843749
n178,n190,0.1345,7.434944238,15000,87.78435205
n177,n175,0.03048,32.80839895,15000,12.07667179
n176,n183,0.02686,37.23008191,15000,70.35804281
n176,n175,0.01261,79.30214116,15000,61.64990304
n176,n172,0.01541,64.89292667,15000,73.03145657
n175,n183,0.02729,36.64345914,15000,60.732968
n175,n168,0.06836,14.62843768,15000,129.7885239
n175,n189,0.13195,7.578628268,15000,83.45061326
n175,n172,0.008622792,115.9717121,15000,33.34783976
n174,n199,0.04227,23.65744027,15000,195.8872521
n174,n193,0.07017,14.25110446,15000,155.0554101
n174,n157,0.02157,46.36068614,15000,93.61749166
n173,n181,0.03684,27.14440825,15000,53.97248203
n173,n167,0.03568,28.02690583,15000,36.32653954
n172,n159,0.014841337,67.37937458,15000,67.81287182
n172,n154,0.13266,7.53806724,15000,243.3579479
n172,n170,0.04223,23.67984845,15000,25.40200293
n171,n160,0.06985,14.31639227,15000,49.82266111
n170,n159,0.07019,14.24704374,15000,49.34808291
n1502,n1032,0.05,20,15000,22.01001321
n1503,n1033,0.05,20,5000,55.54858397
n1500,n1439,0.05211,19.19017463,10000,59.72108535
n1506,n629,0.00993,100.7049345,1476,25.96753372
n1506,n534,0.00776,128.8659794,10000,8.910894588
n1506,n624,0.01593,62.77463905,10000,42.28328941
n1507,n627,0.03743,26.71653754,1270,9.659912195
n1507,n547,0.03974,25.16356316,1720,75.31178531
n659,n670,0.01967,50.83884087,10000,41.00344858
n659,n660,0.01557,64.22607579,10000,25.12119971
n1114,n1107,0.02545,39.29273084,10000,27.77471741
n1114,n1131,0.09951,10.04924128,10000,103.679753
n1114,n1109,0.06099,16.39613051,10000,42.08422355
n1116,n1107,0.04273,23.40276153,10000,70.63678425
n1142,n1133,0.01005,99.50248756,10000,41.90538207
n1142,n1157,0.01835,54.49591281,10000,46.4684457
n1142,n1158,0.04271,23.41372044,10000,130.3309952
n1143,n1155,0.04959,20.16535592,10000,62.19534725
n1143,n1139,0.01494,66.93440428,10000,31.86578421
n1143,n1145,0.03524,28.37684449,10000,41.41638008
n1140,n1133,0.06855,14.58789205,10000,44.85449019
n1140,n1131,0.10069,9.931472837,10000,65.62491869
n1140,n1160,0.1099,9.099181074,10000,43.58845061
n1140,n1153,0.06265,15.96169194,10000,40.9242928
n1141,n847,0.006,166.6666667,2770,19.87219973
n1141,n1144,0.06251,15.99744041,10000,90.16533724
n1141,n1132,0.03987,25.08151492,10000,81.46151413
n1141,n1148,0.04982,20.07226014,10000,37.79560293
n1141,n1125,0.09918,10.08267796,10000,77.42229677
n1141,n1126,0.06514,15.35155051,10000,101.1674729
n1146,n1138,0.05909,16.92333728,10000,36.75859652
n1146,n1159,0.08188,12.21299463,10000,54.45033267
n1146,n1150,0.03333,30.0030003,10000,21.11940425
n1146,n1162,0.02797,35.75259206,10000,34.97246285
n1147,n1134,0.10288,9.720062208,10000,58.0211887
n1144,n1151,0.07125,14.03508772,10000,48.28421864
n1144,n1156,0.02916,34.29355281,10000,22.9717076
n1144,n1137,0.06167,16.21533971,10000,45.58946567
n1145,n1155,0.03089,32.37293623,10000,23.90213173
n1145,n1153,0.0322,31.05590062,10000,38.58899581
n1148,n1156,0.06488,15.41307028,10000,45.40048537
n1149,n1133,0.05123,19.51981261,10000,74.76112365
n1149,n1159,0.03683,27.15177844,10000,25.42274169
n1149,n1130,0.04979,20.08435429,10000,87.80546905
n1149,n1151,0.11909,8.397010664,10000,79.4443403
n1149,n1165,0.04626,21.61694769,10000,52.78869571
n692,n691,0.01361,73.47538575,10000,27.50375371
n692,n678,0.03069,32.58390355,10000,63.72411815
n692,n702,0.01918,52.13764338,10000,48.1297764
n693,n656,0.13735,7.280669822,10000,116.7009017
n693,n675,0.12209,8.190679007,10000,71.42071007
n693,n709,0.09174,10.90037061,10000,79.45207742
n693,n696,0.03297,30.33060358,10000,60.28207011
n690,n677,0.01434,69.73500697,10000,61.36306056
n690,n696,0.0096,104.1666667,10000,24.95268449
n691,n676,0.02422,41.28819158,10000,65.07982794
n691,n702,0.02271,44.03346543,10000,43.73947347
n691,n694,0.14789,6.761782406,10000,97.93943216
n691,n695,0.06742,14.83239395,10000,46.85539118
n696,n699,0.02039,49.04364885,10000,36.66263053
n696,n703,0.0389,25.70694087,10000,74.21001929
n697,n709,0.0206,48.54368932,10000,53.47792408
n694,n704,0.02797,35.75259206,10000,60.32954663
n694,n705,0.04639,21.55636991,10000,95.47224916
n694,n698,0.03153,31.7158262,10000,27.40715712
n694,n700,0.0601,16.63893511,10000,39.24069119
n694,n701,0.07961,12.56123603,10000,50.41561091
n695,n698,0.07477,13.374348,10000,50.81484007
n699,n703,0.01942,51.49330587,10000,37.56341597
n542,n545,0.00547,182.8153565,10000,21.22939423
n543,n535,0.00655,152.6717557,10000,32.3033358
n543,n546,0.00713,140.2524544,10000,34.22109253
n540,n544,0.01731,57.7700751,10000,36.00772207
n541,n535,0.00753,132.8021248,10000,30.60390059
n547,n549,0.00747,133.8688086,10000,25.33833142
n544,n548,0.03154,31.70577045,10000,34.01063252
n545,n536,0.00998,100.2004008,10000,43.717152
n545,n222,0.01865,53.61930295,2350,33.0100201
n414,n423,0.05275,18.95734597,10000,37.80925083
n415,n438,0.10425,9.592326139,10000,80.69458774
n416,n418,0.01307,76.51109411,10000,48.3271972
n416,n411,0.03738,26.75227394,10000,42.43738752
n416,n427,0.008197858,121.9830772,10000,45.54353111
n417,n413,0.02539,39.38558488,10000,25.73762942
n410,n424,0.03936,25.40650407,10000,33.66490871
n411,n405,0.01837,54.43658138,10000,74.99370448
n412,n405,0.08868,11.27649977,10000,62.98464695
n413,n426,0.04554,21.95871761,10000,41.54164305
n1384,n1381,0.00606,165.0165017,10000,15.21233415
n1384,n1382,0.00606,165.0165017,10000,12.10979712
n1385,n1386,0.00606,165.0165017,10000,24.41524689
n1385,n1380,0.02882,34.6981263,10000,11.64377428
n1386,n1387,0.0303,33.00330033,10000,42.10433116
n1386,n1380,0.00424,235.8490566,10000,20.57826517
